,acronym,projectUrl,foundProjectUrl1,MatchScore1,Same Web Resource,Same Site
204,TRANSPARENCY,http://www.transparency-project.eu/index.php?transparency,http://www.lboro.ac.uk/departments/mechman/staff/pedro-ferreira.html,0.0,0,
205,IC2,http://www.ic2-eu.org/,http://www.ic2-eu.org/,100.0,1,
206,LEGUME-FUTURES,http://www.legumefutures.de/,http://www.legumefutures.de/,100.0,1,
207,ATHENA,http://www.athena-flora.eu/,http://foodandhealth.ifr.ac.uk/research-themes/food-bioactives/anthocyanin-and-polyphenol-bioactives-for-health-enhancement-through-nutritional-advancement-athena/,0.0,0,
208,PROTECTRAIL,http://www.protectrail.eu/,http://www.protectrail.eu/,100.0,1,
209,NIMBL,http://www.human-development.manchester.ac.uk/NIMBL/,http://www.irdirc.org/member-funded-research/research-projects/european-commission-european-union/,0.0,0,
210,MINDVIEW,http://www.mindview.i3m.upv.es/,http://www.mindview.i3m.upv.es/,100.0,1,
211,REQUITE,http://www.requite.eu/,http://www.ncbi.nlm.nih.gov/pubmed/25267305,0.0,0,
212,INNOS&T,http://bcmmnty-qp.unibocconi.it/QuickPlace/innovativest/Main.nsf/h_Toc/4df38292d748069d0525670800167212/?OpenDocument,http://www.incentim.org/projects/index.html,0.0,0,
213,MAGISTER,http://www.magister-project.eu/,http://www.magister-project.eu/,100.0,1,
214,THOR,http://www.eu-thor.eu/,http://www.eu-thor.eu/,99.0,1,
215,PALMS,http://www.fp7-palms.org/,http://www.fp7-palms.org/,100.0,1,
216,SUME,http://www.sume.at/,http://www.sume.at/,100.0,1,
217,CERTCOST,http://www.certcost.org/,http://www.certcost.org/Upload/CERTCOST/Document/D23_designed_web.pdf,0.0,0,
218,DIABIMMUNE,http://www.diabimmune.org/,https://ec.europa.eu/research/health/medical-research/diabetes-and-obesity/projectsfp7_en.html,0.0,0,
219,EUROTRAPS,http://fmf.igh.cnrs.fr/ISSAID/EUROTRAPS/,http://www.orpha.net/orphacom/cahiers/docs/GB/Networks.pdf,0.0,0,
220,EUTRIGTREAT,http://www.eutrigtreat.eu/,http://www.eutrigtreat.eu/,96.0,1,
221,LEUKOTREAT,http://www.leukotreat.eu/,http://ec.europa.eu/research/health/medical-research/rare-diseases/projects/leukotreat_en.html,0.0,0,
222,ACCORD,http://www.fp7-accord.eu/,http://www.fp7-accord.eu/,100.0,1,
223,MICRO-DRESS,http://www.micro-dress.eu/,http://www.textile-platform.eu/links/,0.0,0,
224,BOOSTER,http://www.booster-project.org/,http://www.euro-research.org/index.php?option=com_content&view=article&id=96&Itemid=82,0.0,0,
225,CRISIS,http://idc.mdx.ac.uk/projects/crisis/,http://a-esolutions.com/index.php?id=crisis,0.0,0,
226,TRANSEURO,http://www.transeuro.org.uk/,https://clinicaltrials.gov/ct2/show/NCT01898390,0.0,0,
227,REDONTAP,http://redontap.com/,http://www.zv.uni-leipzig.de/fileadmin/user_upload/Forschung/allgemein/pdf/fb2009_medizin.pdf,0.0,0,
228,NEUROFAST,http://www.neurofast.eu/,http://www.neurofast.eu/,100.0,1,
229,NANODIRECT,http://nanodirect.eu/,http://www.fz-juelich.de/ics/ics-2/EN/Home/home_node.html,0.0,0,
230,ALFA-BIRD,http://www.alfa-bird.eu-vri.eu/,http://www.alfa-bird.eu-vri.eu/,99.0,1,
231,IMAGEMEND,http://www.imagemend.eu/,http://www.brainvoyager.com/company/jobs_imagemend.html,0.0,0,
232,LEMSUPER,http://lemsuper.eu/,http://www.lemsuper.eu/,100.0,1,
233,SEAT,http://seatglobal.eu/,http://seatglobal.eu/,97.0,1,
234,EURO-JUSTIS,http://www.eurojustis.eu/,http://www.eurojustis.eu/,100.0,1,
235,MONACAT,http://nano4water.eu/?id=48,https://nano4water.vito.be/n4wprojects/Pages/monacat.aspx,64.0,0,1
236,EUSTROKE,http://www.europeanstrokenetwork.eu/,http://www.europeanstrokenetwork.eu/,0.0,0,
237,RUDI,http://www.rudi-europe.net/,http://www.rudi-europe.net/,79.0,1,
238,NANORUCER,http://nanorucer.de/nanorucer/inhalte/start.php,http://www.nanorucer.eu/,100.0,1,
239,DETECTER,http://www.detecter.bham.ac.uk/index.shtml,http://www.detecter.eu/,0.0,0,
240,EURONANOMED,http://www.euronanomed.net/,http://www.euronanomed.net/,100.0,1,
241,NAIMIT,http://naimit.eu/,http://naimit.eu/,100.0,1,
242,SP4ESP,http://www.sp4esp.eu/,http://www.sp4esp.eu/,99.0,1,
243,KNOWLEDGE2INNOVATION,http://knowledge2innovation.eu/,http://knowledge2innovation.eu/about,0.0,0,
244,NAD,http://www.nadproject.eu/,http://www.nadproject.eu/,0.0,0,
245,COPIRIDE,http://www.copiride.eu/,http://www.copiride.eu/,100.0,1,
246,GAMEXP,http://www.gamexp.eu/,http://www.gamexp.eu/,100.0,1,
